Justin Bijlow
Loïs Openda
Rafa
Ivan Ricardo Cavaleiro
Youcef Atal
Diego Carlos
Ridle Baku
Gelson Martins
Giorgio Chiellini
Bukayo Saka
Gaëtan Laborde
Kazuyoshi Miura
Tiago Djaló
Saïd Benrahma
Darwin Machís
Azpilicueta
Jesús Corona
Anthony Lopes
Lukas Klostermann
Marouane Fellaini
Samuel Umtiti
Nicolò Zaniolo
Alessandro Bastoni
Éder Gabriel Militão
Giovanni Reyna
Marco Asensio
Andrej Kramaric
Fred
Renan Lodi
Mason Mount
Denis Zakaria
Dante
Simon Kjær
Vinícius Júnior
Sergej Milinkovic-Savic
Leonardo Bonucci
Matthijs de Ligt
Lukáš Hrádecký
